manufacturer,model_name,production_start,production_end,recall_start_date,recall_count,recall_reason
비엠더블유,330ci,2002-06-21,2002-06-21,2013-09-13,1,에어백 작동 시 에어백을 부풀게 하는 팽창장치결함으로 에어백이 정상적으로 부풀지 않아 안전운행에 지장
현대자동차,제네시스 쿠페,2008-08-01,2010-09-14,2013-10-01,12036,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
기아,그랜드 카니발,2007-06-21,2010-12-01,2013-10-01,4723,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
기아,오피러스,2008-03-01,2009-06-29,2013-10-01,18031,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
기아,로체,2008-05-01,2010-04-28,2013-10-01,26131,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
기아,포르테,2008-08-01,2010-09-06,2013-10-01,61870,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
기아,모하비,2007-11-01,2011-03-13,2013-10-01,22551,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
기아,스포티지,2010-01-28,2011-06-08,2013-10-01,49711,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
기아,K5,2010-05-03,2011-04-24,2013-10-01,63096,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
현대자동차,구형 그랜저,2009-01-01,2010-11-30,2013-10-01,26148,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
현대자동차,제네시스,2009-03-01,2010-11-22,2013-10-01,50270,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
현대자동차,투싼,2009-09-07,2010-11-30,2013-10-01,69253,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
현대자동차,i30,2007-07-01,2011-08-15,2013-10-01,16111,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
현대자동차,베라크루즈,2009-03-01,2011-07-31,2013-10-01,19238,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
현대자동차,아반떼,2010-07-01,2011-01-03,2013-10-01,38174,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
현대자동차,쏘나타,2008-10-01,2011-01-31,2013-10-01,185176,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
폭스바겐그룹,A6 2.7Q,2003-07-25,2003-11-18,2013-10-14,35,롤오버 밸브와 벤틸레이션 라인 연결부위에 균열이 발생하여 연료가 누유되는 경우 화재가 발생할 수 있어 안전운행에 지장
폭스바겐그룹,A6 3.0Q,2001-09-05,2004-02-04,2013-10-14,251,롤오버 밸브와 벤틸레이션 라인 연결부위에 균열이 발생하여 연료가 누유되는 경우 화재가 발생할 수 있어 안전운행에 지장
폭스바겐그룹,A6 2.4Q,2001-07-20,2004-02-11,2013-10-14,420,롤오버 밸브와 벤틸레이션 라인 연결부위에 균열이 발생하여 연료가 누유되는 경우 화재가 발생할 수 있어 안전운행에 지장
폭스바겐그룹,Allroad Quattro 2.7T,2002-03-27,2005-03-01,2013-10-14,73,롤오버 밸브와 벤틸레이션 라인 연결부위에 균열이 발생하여 연료가 누유되는 경우 화재가 발생할 수 있어 안전운행에 지장
현대자동차,제네시스,2007-12-24,2012-03-16,2013-10-31,103214,ABS제어장치(모듈레이터)에 부식이 발생하여 브레이크 성능이 저하될 수 있어 안전운행에 지장
비엠더블유,328i,2012-02-23,2012-07-25,2013-11-01,48,전면부 전자모듈(FEM) 프로그램 결함으로 와이퍼 초기위치 복귀불량 및 비상경고등문 잠금장치트렁크 잠금장치 실내등이 비정상적으로 작동되어 안전운행에 지장
비엠더블유,320d ED,2011-11-08,2012-07-30,2013-11-01,715,전면부 전자모듈(FEM) 프로그램 결함으로 와이퍼 초기위치 복귀불량 및 비상경고등문 잠금장치트렁크 잠금장치실내등이 비정상적으로 작동되어 안전운행에 지장
폭스바겐그룹,뮤시엘라고 쿠페,2007-10-01,2009-07-30,2013-11-01,7,카본 세라믹 브레이크 디스크의 부식 균열로 인하여 급속벨(휠허브 연결부)을 고정하고 있는 스테인레스 스틸 나사 손상으로 제동거리가 길어져 안전운행에 지장
폭스바겐그룹,가야르도 LP560-4 SPYDER,2007-10-01,2009-07-30,2013-11-01,1,카본 세라믹 브레이크 디스크의 부식 균열로 인하여 급속벨(휠허브 연결부)을 고정하고 있는 스테인레스 스틸 나사 손상으로 제동거리가 길어져 안전운행에 지장
폭스바겐그룹,뮤시엘라고 LP670-4,2007-10-01,2009-07-30,2013-11-01,1,카본 세라믹 브레이크 디스크의 부식 균열로 인하여 급속벨(휠허브 연결부)을 고정하고 있는 스테인레스 스틸 나사 손상으로 제동거리가 길어져 안전운행에 지장
폭스바겐그룹,가야르도 슈퍼레제라,2007-10-01,2009-07-30,2013-11-01,1,카본 세라믹 브레이크 디스크의 부식 균열로 인하여 급속벨(휠허브 연결부)을 고정하고 있는 스테인레스 스틸 나사 손상으로 제동거리가 길어져 안전운행에 지장
