센터코드,센터명,센터종류,주소,전화번호,위도,경도,전기차수리,수소차수리
B4M004,(주)봉천점,전문블루핸즈,"서울특별시 관악구 남부순환로 1686, 지상1층(신림동)", 02 8768204,37.483856,126.937608,N,N
P02N22,(주)부산정비,종합블루핸즈,부산광역시 사하구 장림동 1050,051 2632111,128.978825,35.084167,Y,N
I1M010,(주)부여점,전문블루핸즈,충청남도 부여군 부여읍 성왕로 369,041 8323233,36.284251,126.928067,N,N
T1Z001,(주)산지공업사,종합블루핸즈,제주특별자치도 제주시 선반로 62 (화북일동),064 7587182,33.515035,126.564171,N,N
A1Z006,(주)삼공사,종합블루핸즈,인천광역시 동구 중봉대로 73 ,032 7735544,126.644625,37.486536,N,N
N01N20,(주)삼일 이알씨,종합블루핸즈,경상북도 포항시 남구 철강로 159 (장흥동),054 2853030,129.359042,35.988619,N,N
MF0D77,(주)상동점,전문블루핸즈,경기도 부천시 원미구 장말로 174 ,032 6115400,37.493105,126.761143,N,N
I1Z023,(주)서대전현대서비스,종합블루핸즈,대전광역시 서구 가수원로 103-13 (가수원동),042 5348400,127.348622,36.30315,Y,Y
B4M001,(주)서림점,전문블루핸즈,서울특별시 관악구 신림로 171 금원프라자1층(서림동), 02 8884700,37.474403,126.934073,N,N
I1M007,(주)석림점,전문블루핸즈,충청남도 서산시 서해로 3447 (석림동),041 6659761,36.772326,126.460298,N,N
D1Z004,(주)선두자동차,종합블루핸즈,인천 강화군 선원면  중앙로 148,032 9347785,37.730429,126.488955,N,N
E5M010,(주)선부점,전문블루핸즈,경기도 안산시 단원구 화정천서로2안길 1 ,031 4824300,37.342525,126.817419,N,N
Z11Z46,(주)성도모터스,종합블루핸즈,경기도 고양시 일산동구 백마로 488 (풍동),031 9071883,37.661915,126.802587,Y,N
E1M007,(주)성복점,전문블루핸즈,경기도 용인시 수지구 수지로 106 ,031 2648811,127.07825,37.311706,N,N
B8M007,(주)성사점,전문블루핸즈,"경기도 고양시 덕양구 고양대로 1361, 1층(성사동)",031 9676969,126.835694,37.655017,N,N
S2Z003,(주)성산현대서비스,종합블루핸즈,경상남도 창원시 성산구 해원로374번길 5(성주동),055 2612119,35.184963,128.704989,N,Y
A1Z005,(주)성일공업사,종합블루핸즈,경기도 고양시 일산동구 성석로 365 (성석동),031 9774992,126.792569,37.707828,N,N
I1M009,(주)성정북부점,전문블루핸즈,충청남도 천안시 서북구 백석로 226 (성정동),041 5747277,127.134619,36.818381,N,N
D1M008,(주)소사점,전문블루핸즈,경기도 부천시 소사구 소사로 142 ,032 3423989,37.470979,126.796083,N,N
D1M017,(주)송림점,전문블루핸즈,인천광역시 제물포구 송미로35번길 18 ,032 7778204,126.648861,37.483439,N,N
Z11Z50,(주)신도시카독크,종합블루핸즈,경기도 고양시 일산동구 장대길 160-54 (장항동),031 9055555,126.762361,37.643703,N,N
Z21Z56,(주)아진모터스,종합블루핸즈,인천광역시 계양구 아나지로 434 (작전동),032546 2100,126.740397,37.525297,N,N
E05H02,(주)안산모터스,종합블루핸즈,경기도 안산시 단원구 연수원로 17 (원시동),031493 5523,126.796894,37.315286,N,N
L1M011,(주)양산점,전문블루핸즈,전남광주통합특별시 북구 하서로 353 (양산동),062 5728504,126.873194,35.206664,N,N
Z12Z37,(주)양주자동차정비공업사,종합블루핸즈,경기도 양주시 평화로 1617 (회정동),031 8581748,127.053314,37.833369,N,N
P2M002,(주)엄궁점,전문블루핸즈,부산광역시 사상구 엄궁남로 1 (엄궁동),051 3287773,35.125734,128.968502,N,N
B1M009,(주)역촌점,전문블루핸즈,서울특별시 은평구 진흥로 49 (역촌동), 02 3528272,126.920197,37.601572,N,N
D1M011,(주)연수점,전문블루핸즈,인천광역시 연수구 동곡재로 31(동춘동),032 8118204,37.414588,126.672632,N,N
B8M006,(주)염리점,전문블루핸즈,서울특별시 마포구 백범로25길 49(염리동), 02 7015705,37.548029,126.947238,N,N
Z14Z48,(주)영남중공업,종합블루핸즈,서울특별시 금천구 시흥대로153길 26 (독산동), 02 8559966,126.897122,37.477689,N,N
MB0DA1,(주)오금동부점,전문블루핸즈,서울특별시 송파구 위례성대로 194 (오금동), 02 4430049,37.50948,127.132382,N,N
Z21Z59,(주)오토맥스,종합블루핸즈,경기도 부천시 부천로 190,032 6658030,37.500852,126.786986,Y,N
Z11Z45,(주)오토킹,종합블루핸즈,경기도 고양시 덕양구 충장로 208 (화정동),031 9780088,37.630694,126.837237,N,N
I1Z010,(주)옥천현대서비스,종합블루핸즈,충청북도 옥천군 옥천읍 마장로 67,043 7318256,36.293147,127.575439,N,N
B1M005,(주)용강점,전문블루핸즈,서울특별시 마포구 토정로 270 (용강동), 02 7119228,126.939622,37.542417,N,N
L1M009,(주)운남점,전문블루핸즈,전남광주통합특별시 광산구 풍영철길로 151(운남동),062 9554111,126.821814,35.171722,N,N
E5M006,(주)원시점,전문블루핸즈,"경기도 안산시 단원구 산단로 107(원시동,서흥테크노밸리 101-1,2)",031 5089990,37.305466,126.787101,N,N
I01G87,(주)유성현대서비스,종합블루핸즈,대전광역시 유성구 한밭대로 398 ,042 8244972,36.362008,127.343428,Y,Y
B3M007,(주)은현점,전문블루핸즈,경기도 양주시 은현면 화합로 976,031 8592556,37.858697,127.028256,N,N
E1M020,(주)장당점,전문블루핸즈,경기도 평택시 첨단대로 439 ,031 6683379,127.058458,37.045458,,
J01K27,(주)전북고속터미널,종합블루핸즈,전북특별자치도 전주시 덕진구 가리내로 30 (금암동),063 2701781,127.133406,35.834758,N,N
B3M011,(주)정릉점,전문블루핸즈,서울특별시 성북구 솔샘로 35(정릉동), 02 9410466,37.610659,127.005001,N,N
E5M001,(주)정왕점,전문블루핸즈,경기도 시흥시 중심상가로 48(정왕동),031 4888217,37.352117,126.723261,N,N
D1M015,(주)중동점,전문블루핸즈,경기도 부천시 원미구 장말로 177 ,032 6688272,37.493368,126.761741,N,N
E01E59,(주)중앙고속,종합블루핸즈,경기도 화성시 풀무골로 1 ,031 3768288,127.125339,37.204961,N,N
I01DQ6,(주)진잠점,전문블루핸즈,대전광역시 유성구 진잠로 118 (원내동),042 5268272,36.301883,127.315442,N,N
S2Z008,(주)진해현대서비스,종합블루핸즈,경상남도 창원시 진해구 죽곡로 136,055 5468582,35.110927,128.724599,N,Y
M01L68,(주)창신종합중기정비,종합블루핸즈,대구광역시 북구 신천동로 980 (산격동),053 3825900,128.594919,35.902194,N,N
S02Q47,(주)창원신일현대서비스,종합블루핸즈,경상남도 창원시 의창구 차상로 187 (팔용동),055 2929500,35.240914,128.634425,Y,Y
P03M08,(주)천일정비,종합블루핸즈,경상남도 양산시 물금읍 제방로 27 ,055 3712230,129.010142,35.291728,N,N
Z1Z001,(주)파주현대상용서비스,종합블루핸즈,경기도 파주시 월롱면 도감로 164,031 9498074,126.802942,37.791381,N,N
Z1Z026,(주)평택항 현대서비스,종합블루핸즈,경기도 평택시 포승읍 하만호길 237 ,031 6869752,126.850536,36.955392,N,N
Z1Z037,(주)포항현대상용서비스,종합블루핸즈,경상북도 포항시 남구 호동로 122 ,054 2858080,129.384522,35.989931,N,N
Z12Z75,(주)합성자동차,종합블루핸즈,서울특별시 강북구 도봉로 113 (미아동), 02 9894901,37.619001,127.028846,Y,Y
P02N33,(주)현대기아남구정비서비스,종합블루핸즈,부산광역시 남구 신선로 340 (용당동),051 6219204,129.095958,35.116906,Y,Y
Z0ZZ95,(주)현대시트,종합블루핸즈,"서울특별시 동작구 등용로 89(대방동,1층)", 02 7138530,126.934997,37.511982,,
Z11Z48,(주)현대오성자동차공업사,종합블루핸즈,경기도 파주시 탄현면 평화로 563,031 9438272,37.772002,126.721996,Y,N
I01G80,(주)현대자동차충청써비스,종합블루핸즈,충청남도 아산시 곡교천로125번길 35 ,041 5473399,126.9885,36.79525,Y,Y
I1Z021,(주)홍성현대서비스,종합블루핸즈,충청남도 홍성군 금마면 충서로 2165,041 6338890,36.623182,126.723672,Y,N
F01F33,(합)동춘천현대서비스,종합블루핸즈,강원특별자치도 춘천시 후석로462번길 91 (후평동),033 2533147,37.891443,127.751681,N,Y
L1Z004,(합)북광주현대서비스,종합블루핸즈,전남광주통합특별시 북구 하서로672번길 37 (용전동),062 5768272,35.234798,126.890681,Y,Y
D1Z001,㈜남인천현대써비스,종합블루핸즈,인천광역시 남동구 은청로 32 (고잔동),032816 1500,37.40552,126.696821,N,Y
Z1Z025,㈜전국정비,종합블루핸즈,경상남도 김해시 한림면 김해대로 1131-2,055 3421677,128.806211,35.296619,N,N
B3Z001,㈜평내현대써비스,종합블루핸즈,경기도 남양주시 경춘로 1319 (평내동),031 5953663,37.651322,127.238462,N,N
E1M015,㈜평택합정점,전문블루핸즈,경기도 평택시 배미1길 6 (합정동) ,031 6586619,36.98931,127.11048,N,Y
B8M010,㈜향동점,전문블루핸즈,경기도 고양시 덕양구 꽃내음1길 159 (향동동), 02 3228777,126.890228,37.599372,N,N
T1M012,㈜현대노형북부점,전문블루핸즈,제주특별자치도 제주시 월광로 43 ,064 7471475,33.48546,126.465447,N,N
G1M013,가경점(주),전문블루핸즈,충청북도 청주시 흥덕구 가경로101번길 27 (가경동),043 2348204,127.437653,36.623789,N,N
B3M013,가능서부점,전문블루핸즈,경기도 의정부시 서부로 526(가능동),031 8775589,127.025722,37.743539,N,N
ME0D06,가능점,전문블루핸즈,경기도 의정부시 체육로 16 (가능동),031 8790404,127.032011,37.752317,N,N
MB0D39,가락점,전문블루핸즈,서울특별시 송파구 중대로 203 (가락동), 02 4300135,127.126131,37.500153,N,N
B1M007,가람로중앙점,전문블루핸즈,경기도 파주시 가람로21번길 7-20 (와동동),031 9471456,126.751147,37.734175,N,N
M01M01,가산현대상용서비스,종합블루핸즈,경상북도 칠곡군 가산면 송신로 276 ,054 9711500,128.519067,36.105283,N,N
Z12Z41,가산현대서비스㈜,종합블루핸즈,경기도 포천시 가산면 가산로 18 ,031 5421111,127.156228,37.836428,N,N
P02DH4,가야점,전문블루핸즈,부산광역시 부산진구 가야대로 660,051 8967778,129.044094,35.155697,N,N
S02DH7,가야점,전문블루핸즈,경상남도 함안군 가야읍 가야로 126,055 5849966,128.414869,35.278628,N,N
Z18Z07,가양현대서비스,종합블루핸즈,서울특별시 강서구 양천로 462 (등촌동), 0236613661,126.851908,37.562247,N,N
MA0DA4,가좌점,전문블루핸즈,경기도 고양시 일산서구 송산로 414 (가좌동),031 9238210,37.685811,126.724733,N,N
MF0D59,가좌점,전문블루핸즈,인천광역시 서구 건지로 395-1 (가좌동),032 5739944,126.685575,37.495872,N,N
Z1Z027,가평상용현대서비스,종합블루핸즈,경기도 가평군 상면 청군로 1990 가평상용현대서비스,031 5856360,127.29425,37.831322,N,N
B3M006,가평점,전문블루핸즈,경기도 가평군 가평읍 광장로 21,031 5822119,127.509481,37.825847,N,N
M01DP7,가흥점,전문블루핸즈,경상북도 영주시 신재로 25 (가흥동),054632 8222,128.609819,36.830814,N,N
MF0D63,간석점,전문블루핸즈,인천광역시 남동구 경인로 776 (간석동),032 5018855,126.710953,37.478678,N,N
J01DM8,갈공점,전문블루핸즈,전북특별자치도 김제시 벽성로 305 (갈공동),063 5458204,35.801241,126.870437,N,N
B2M013,감일점,전문블루핸즈,경기도 하남시 감일로 166 (감일동), 0269586005,127.156006,37.514114,N,N
I01DN7,강경점,전문블루핸즈,충청남도 논산시 강경읍 계백로 130-2,041 7451475,127.015353,36.156144,N,N
N1M006,강구점,전문블루핸즈,경상북도 영덕군 강구면 동해대로 4571 ,054 7335300,129.376586,36.365011,N,N
MD0D46,강남논현점,전문블루핸즈,서울특별시 강남구 논현로150길 21 (논현동) , 02 5168204,37.519682,127.030138,N,N
Z1Z015,강남현대상용서비스,종합블루핸즈,경상남도 양산시 상북면 소노길 9,055 3744767,129.055033,35.378967,N,N
Z1M004,강릉대형점,전문블루핸즈,강원특별자치도 강릉시 율곡로 2553 (유산동),033 6438546,128.921647,37.740519,N,N
F01DG3,강릉북부점,전문블루핸즈,강원특별자치도 강릉시 가작로 306 ,033 6536622,128.908725,37.770697,N,N
F01000,강릉하이테크센터,하이테크센터,강원특별자치도 강릉시 강변로534번길 9  입암동,033 6539120,37.765967,128.919597,,
P2Z002,강서명지현대서비스,종합블루핸즈,부산광역시 강서구 화전산업대로 163 ,051 8312199,35.103447,128.887153,N,Y
P2M001,강서범방점,전문블루핸즈,부산광역시 강서구 가락대로900번길 5 ,051 8321133,35.151202,128.881656,N,N
Z1Z018,강서상용현대서비스(주),종합블루핸즈,경기도 김포시 고촌읍 아라육로57번길 87-11, 0226666268,126.795797,37.592058,N,N
G1M015,강서점,전문블루핸즈,충청북도 청주시 흥덕구 서현로 14(가경동),043 2378277,127.423978,36.616589,N,N
B8Z004,강서현대서비스㈜,종합블루핸즈,서울특별시 강서구 남부순환로 223 (외발산동), 0226610072,37.545862,126.821914,N,Y
B2Z014,강일현대서비스,종합블루핸즈,서울특별시 강동구 상일로12길 85(강일동), 0262253000,37.555951,127.172625,Y,Y
T1M010,강정점,전문블루핸즈,제주특별자치도 서귀포시 일주서로 215-3(강정동),064 7383749,33.250019,126.484942,N,N
L03DJ4,강진점,전문블루핸즈,전남광주통합특별시 강진군 강진읍 금릉2길 2,061 4338204,126.767419,34.6341,N,N
MF0D03,강화점,전문블루핸즈,인천광역시 강화군 강화읍 강화대로 286-1,032 9345959,126.497239,37.742406,N,N
MC0D49,개봉점,전문블루핸즈,서울특별시 구로구 경인로 286 (개봉동), 0226838774,126.852078,37.497744,N,N
G01DL5,개신점,전문블루핸즈,충청북도 청주시 서원구 성봉로 161,043 2373451,36.61966,127.451212,N,N
MD0D35,개포점,전문블루핸즈,서울특별시 강남구 개포로 254 (개포동),02 578 8204,37.478907,127.050264,N,N
E05DK6,거모점,전문블루핸즈,경기도 시흥시 군자로 532번길,031 4934946,126.786139,37.343,N,N
S02DK5,거제상동점,전문블루핸즈,경상남도 거제시 상동1길 18-3 ,055 6354060,34.86497,128.639785,N,N
S02DL5,거제서정점,전문블루핸즈,경상남도 거제시 거제면 읍내로 104,055 6341418,128.587525,34.853019,N,N
S2Z007,거제현대서비스,종합블루핸즈,경상남도 거제시 연초면 연하해안로 316,055 6379200,34.903931,128.623841,Y,Y
S02DG6,거창점,전문블루핸즈,경상남도 거창군 거창읍 가조가야로 16 ,055 9433360,127.921261,35.695169,N,N
S02Q50,거창현대서비스,종합블루핸즈,경상남도 거창군 거창읍 밤티재로 1262 .,055 9437700,35.667716,127.931921,N,N
N01DJ8,건천점,전문블루핸즈,경상북도 경주시 건천읍 내서로 1201,054 7518207,35.843567,129.109437,N,N
MF0D84,검단가현점,전문블루핸즈,인천광역시 서구 가현로117번길 62(마전동),032 5693280,126.667011,37.609025,N,N
MF0D69,검암점,전문블루핸즈,인천광역시 서구 승학로 532 (검암동),032 5641359,126.678728,37.565783,N,N
E01E39,경기자동차공업사,종합블루핸즈,경기도 용인시 기흥구 중부대로 14-9 (영덕동),031 2061661,127.070956,37.266792,N,N
N01N27,경산진량현대서비스,종합블루핸즈,경상북도 경산시 진량읍 의송길 6 ,053 8523800,35.863577,128.803839,Y,Y
N1Z005,경주현대상용서비스,종합블루핸즈,경상북도 경주시 태종로 266-3,054 7012323,129.164622,35.837303,N,Y
N1Z006,경주현대서비스(주),종합블루핸즈,경상북도 경주시 공단로 45 ,054 7769100,35.874551,129.219161,Y,N
I01DR3,계룡금암점,전문블루핸즈,충청남도 계룡시 금암로 130-6 (금암동),042 5516000,127.255189,36.275461,N,N
I01G83,계룡현대서비스,종합블루핸즈,충청남도 계룡시 두마면 왕대로 99,042 8411111,36.258763,127.279163,N,N
N01DK7,계양점,전문블루핸즈,경상북도 경산시 원효로 120 (계양동),053 8028204,128.750561,35.822356,N,N
I01DN6,고대점,전문블루핸즈,충청남도 당진시 고대면 보덕포로 174,041 3520809,126.602775,36.925392,N,N
B2Z022,고등현대서비스,종합블루핸즈,경기도 성남시 수정구 청계산로2길 14 ,031 7478204,127.094439,37.427711,Y,N
S02Q45,고성군현대서비스,종합블루핸즈,경상남도 고성군 고성읍 남해안대로 2524 ,055 6740330,34.969307,128.335389,N,N
M1M005,고성점,전문블루핸즈,대구광역시 북구 옥산로 74(고성동3가),053 3560404,35.884455,128.583644,N,N
S02DN3,고성중앙점,전문블루핸즈,경상남도 고성군 고성읍 송학고분로 229 .,055 6735526,128.315325,34.981597,N,N
F01F28,고성현대서비스,종합블루핸즈,강원특별자치도 고성군 죽왕면 향목길 14,033 6810001,128.490158,38.380828,N,N
M01DN2,고아점,전문블루핸즈,경상북도 구미시 고아읍 송평로 6 ,054 4828383,36.162588,128.35434,N,N
B8Z005,고양벽제현대서비스㈜,종합블루핸즈,경기도 고양시 덕양구 혜음로  240,031 9685300,37.721178,126.898145,N,N
MA0D94,고양점,전문블루핸즈,경기도 고양시 덕양구 호국로 1787 (고양동),031 9633377,126.906238,37.710387,N,N
B08000,고양하이테크센터,하이테크센터,경기도 고양시 일산서구 킨텍스로 217-6(대화동),03180362114,37.666207,126.747685,,
E05DK9,고잔중부점,전문블루핸즈,경기도 안산시 단원구 화정천동로 96 (고잔동),031439 6776,37.313558,126.821909,N,N
J01DG9,고창점,전문블루핸즈,전북특별자치도 고창군 고창읍 소반3길 17-2,063564 8796,126.694531,35.4398,N,N
J1Z003,고창중앙현대서비스,종합블루핸즈,전북특별자치도 고창군 고창읍 보릿골로 106 ,063 5611911,35.434591,126.695826,N,N
S02DN8,고현로점,전문블루핸즈,경상남도 거제시 고현로14길 61 (고현동),055 6378801,34.883391,128.629578,N,N
E01DL9,고현점,전문블루핸즈,경기도 오산시 동부대로338번길 13 ,031 6660014,127.079269,37.132703,N,N
L03CA1,고흥점,전문블루핸즈,전남광주통합특별시 고흥군 고흥읍 고흥로 1876,061 8338204,34.616043,127.292329,N,N
E01DG8,곡반점,전문블루핸즈,경기도 수원시 권선구 곡반정로 57 ,031 2162820,37.23404,127.027885,N,N
L1M004,곡성점,전문블루핸즈,전남광주통합특별시 곡성군 곡성읍 학교로 8,061 3639111,127.289967,35.277467,N,N
B2M012,곤지암점,전문블루핸즈,경기도 광주시 곤지암읍 도척로 142 ,031 7646611,127.337519,37.339619,N,N
Z31Z01,곤지암현대상용서비스,종합블루핸즈,경기도 광주시 실촌면 삼리 333,031 7638162,127.31811,37.354978,N,N
Z13Z75,곤지암현대서비스,종합블루핸즈,경기도 광주시 곤지암읍 대석동길 113 ,031 7698484,37.351354,127.348695,Y,N
G01H38,공단현대서비스,종합블루핸즈,충청북도 청주시 흥덕구 월명로201번길 2 ,043 2684088,36.653529,127.453434,Y,Y
E1Z018,공도현대서비스,종합블루핸즈,경기도 안성시 공도읍 원승두길 10 공도현대서비스,031 6533007,127.15395,36.996836,,
B03CA2,공릉점,전문블루핸즈,서울특별시 노원구 동일로197길 93 (공릉동),02 948 4508,127.070331,37.625708,N,N
B7M002,공항남부점,전문블루핸즈,서울특별시 강서구 송정로 21-1 (공항동), 0220640106,126.811731,37.557058,N,Y
M1Z001,공항현대서비스,종합블루핸즈,대구광역시 동구 공항로 139 ,053 9859600,128.629506,35.901339,N,N
L03DJ9,공화점,전문블루핸즈,전남광주통합특별시 여수시 동문로 109 (공화동),061 6651116,127.742919,34.746253,N,N
A1M001,과천대형점,전문블루핸즈,경기도 과천시 중촌로 15, 02 5038465,127.030169,37.456258,N,N
E5M005,과천점,전문블루핸즈,경기도 과천시 상하벌로 4 (과천동), 02 5038204,126.999436,37.449206,N,N
MA0D78,관산점,전문블루핸즈,경기도 고양시 덕양구 통일로 754번길 25-5 (관산동),031 9623411,37.688566,126.866627,N,N
E05DM2,관양중부점,전문블루핸즈,경기도 안양시 동안구 관악대로 277 ,031 3878812,126.953656,37.402797,N,N
I01DN3,관저점,전문블루핸즈,대전광역시 서구 관저동로73번길 23 (관저동),042 5428572,127.339167,36.298425,N,N
E05DN6,광명남부점,전문블루핸즈,경기도 광명시 범안로 649 (노온사동),02 26190050,126.845433,37.442194,N,N
E5Z004,광명하안현대서비스,종합블루핸즈,경기도 광명시 구름산로 35 , 02 8985959,37.458122,126.877419,Y,N
L1Z005,광산현대서비스(주),종합블루핸즈,전남광주통합특별시 광산구 동곡로 663,062 9409800,35.140402,126.775291,Y,Y
P01DG7,광안서부점,전문블루핸즈,부산광역시 수영구 수영로 531 (광안동),051752 6883,35.153213,129.111691,N,Y
L03DG1,광양점,전문블루핸즈,전남광주통합특별시 광양시 광양읍 매천로 767,061 7628868,34.977064,127.580215,N,N
L03DH7,광영점,전문블루핸즈,전남광주통합특별시 광양시 광포로 5(광영동),061 7947901,34.959752,127.722998,N,N
ME0D50,광적점,전문블루핸즈,경기도 양주시 광적면 부흥로 947,031 8368804,37.80971,126.99451,N,N
Z1Z039,광주오포현대상용서비스,종합블루핸즈,경기도 광주시 오포로 281 ,031 7668826,127.193217,37.348314,N,N
L01000,광주하이테크센터,하이테크센터,전남광주통합특별시 남구 송암로76번길 31 송하동,062 6732111,35.113457,126.878261,,
MA0D72,광탄점,전문블루핸즈,경기도 파주시 광탄면 동거리길 42,031 9488260,126.849794,37.781231,N,N
G01DK2,광혜원점,전문블루핸즈,충청북도 진천군 광혜원면 장기길 5,043 5358204,127.441103,36.982242,N,N
MA0D34,광희점,전문블루핸즈,서울특별시 중구 마른내로 139 (광희동1가), 0222758204,127.00347,37.564828,N,N
G1M017,괴산점,전문블루핸즈,충청북도 괴산군 문광면 읍내로 35-17 ,043 8323000,127.772567,36.800453,N,N
F01DJ3,교동점,전문블루핸즈,강원특별자치도 속초시 동해대로 4334 (교동),033 6325232,128.568639,38.202747,N,N
S01DJ2,교동점,전문블루핸즈,울산광역시 울주군 삼남면 반구대로 604,052264 8282,129.115414,35.547153,N,N
F01DH4,교동중부점,전문블루핸즈,강원특별자치도 강릉시 화부산로 62 (교동),033645 9994,128.885675,37.762272,N,N
B1M006,교하당하점,전문블루핸즈,경기도 파주시 천정구로 81-1 ,031 9438543,126.751505,37.742438,N,N
E01DM4,구갈점,전문블루핸즈,경기도 용인시 기흥구 중부대로 523 (구갈동),031 2832065,127.122725,37.274175,N,N
L3M001,구례점,전문블루핸즈,전남광주통합특별시 구례군 구례읍 용방로 17,061781 8597,127.461181,35.218339,N,N
MC0D51,구로남부점,전문블루핸즈,서울특별시 구로구 도림로 43 (구로동), 02 8680033,126.889036,37.488206,N,N
MC0D59,구로동부점,전문블루핸즈,서울특별시 구로구 시흥대로 527 , 02 8699938,126.899122,37.480619,N,N
B3Z011,구리동부현대서비스,종합블루핸즈,경기도 구리시 동구릉로200번길 18 인창동,031 5678291,37.616615,127.139042,Y,N
B3Z006,구리중앙현대서비스,종합블루핸즈,경기도 구리시 경춘로 162번길 7 (교문동),031 5624488,37.600297,127.133475,Y,Y
Z12Z73,구리현대자동차공업사,종합블루핸즈,경기도 구리시 아차산로 399 (교문동),031 5659191,37.590715,127.130504,N,N
P3M003,구산점,전문블루핸즈,경상남도 김해시 해반천로 72 (구산동),055 3110018,35.255326,128.870168,N,N
P01DH4,구서점,전문블루핸즈,부산광역시 금정구 금정로 206(구서동),051518 8204,35.242485,129.089271,N,N
E01DJ1,구성점,전문블루핸즈,경기도 용인시 기흥구 마북로 179 ,031 2835151,127.125078,37.305692,N,N
E01E69,구성현대서비스,종합블루핸즈,경기도 용인시 기흥구 동백죽전대로527번길 98-25 ,031 2810008,37.282748,127.142593,Y,Y
S1M010,구영점,전문블루핸즈,울산광역시 울주군 범서읍 대리3길 10-16 ,052 2485757,129.249,35.566539,N,N
