페이지,제목,내용,작성자,등록일,조회수
3,벤츠·현대 등 자발적 시정조치(리콜),"국토교통부(장관 김윤덕)는 메르세데스-벤츠코리아㈜, 현대자동차㈜, 만트럭버스코리아㈜, 르노코리아㈜에서 제작·수입·판매한 21개 차종 24,555대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (벤츠) E 350 4MATIC 차종 16,957대는 엔진제어장치 소프트웨어 오류로 인해 시동이 꺼질 가능성으로, EQE 350 4MATIC 등 5개 차종 523대는 고전압배터리 관리시스템 소프트웨어 오류로 인해 시동이 꺼질 가능성으로 각각 7월 25일부터 시정조치를 진행하고 있다. ② (현대) 쏠라티 등 2개 차종 5,974대는 휠 고정용 너트 체결 불량으로 인해 주행 중 너트 풀림 및 휠 이탈 발생 가능성으로 7월 31일부터 시정조치를 진행하고 있다. ③ (만트럭) TGM 카고 등 11개 차종 643대는 방향지시등 작동 후 주간주행등이 정상 작동되지 않는 안전기준 부적합으로 8월 11일부터 시정조치에 들어간다. ④ (르노) SM6 등 2개 차종 458대는 진공펌프* 제조 불량으로 인해 제동거리가 길어질 가능성으로 8월 11일부터 시정조치에 들어간다. * 작은 힘으로도 자동차를 제동할 수 있도록 도와주는 장치□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2025-08-12,1251
4,재규어랜드로버·현대 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 ㈜재규어랜드로버코리아, 현대자동차㈜, ㈜지에스글로벌, 지엠아시아퍼시픽지역본부㈜에서 제작·수입·판매한 19개 차종 14,708대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (재규어랜드로버) 디스커버리4 3.0D 등 12개 차종 10,878대는 피견인 차량 연결장치의 내구성 부족으로 인해 운행 중 연결장치와 피견인 차량이 분리될 가능성이 있어 7월 4일부터 시정조치에 들어간다. ② (현대) 아반떼 등 2개 차종 2,555대는 운전석 에어백 전개 시 과도한 내부 압력 증가로 인한 인플레이터*의 파손으로 승객이 상해를 입을 가능성이 있어 6월 10일부터 시정조치를 진행하고 있고, 카운티 일렉트릭 629대는 주차 브레이크 부속품 설계 오류로 인해 경사로 주차 시 차량 밀림이 발생할 가능성이 있어 6월 19일부터 시정조치를 진행하고 있다. * 에어백 전개에 필요한 가스를 발생시키는 장치 ③ (지에스글로벌) NEW BYD eBus-12 등 3개 차종 344대는 고전압배터리 트레이* 고정부의 내구성 부족으로 주행 진동에 따라 고정력이 저하되어 배터리셀이 트레이와 접촉하여 절연 불량 또는 화재 발생 가능성으로 6월 12일부터 시정조치를 진행하고 있다. * 배터리셀을 고정하고, 충격 등으로부터 배터리셀을 보호하는 구조물 ④ (지엠아시아퍼시픽) 리릭 302대는 인포테인먼트 제어장치 소프트웨어 오류로 인해 계기판 및 디스플레이가 꺼질 가능성이 있어 6월 27일부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2025-06-27,611
4,기아·비엠더블유 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 기아㈜, 비엠더블유코리아㈜, 현대자동차㈜에서 수입·판매한 14개 차종 16,577대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다.? ① (기아) 셀토스 등 2개 차종 12,949대는 고압파이프 제조 불량으로 인해 고압파이프와 주변 부품의 연결부에서 연료가 누유되어 화재가 발생할 가능성으로 5월 28일부터 시정조치를 진행한다. ② (비엠더블유) BMW 520i 등 11개 차종 2,213대는 48V 스타터 발전기의 배터리 배선 연결부 부품(슬리브) 장착 불량으로 인해 배터리 충전 불가, 시동꺼짐 및 화재 발생 가능성으로, BMW X3 20 xDrive 등 2개 차종 25대는 48V 스타터 발전기와 배터리 배선 간 연결볼트 체결 불량에 따른 시동꺼짐 및 화재 발생 가능성으로 각각 5월 16일부터 시정조치를 진행하고 있다. ③ (현대) 일렉시티 수소전기버스 1,390대는 수소 배출구 보호마개 설계 미흡에 따른 수분 유입 및 빙결로 인해 압력 해제 밸브의 정상작동이 불가하여 과압 발생 시 중압배관 연결부 이탈로 인한 수소 누출 가능성으로 5월 22일부터 시정조치를 진행한다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2025-05-26,1003
4,볼보·벤츠 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 볼보자동차코리아㈜, 메르세데스벤츠코리아㈜, 만트럭버스코리아㈜, ㈜재규어랜드로버코리아, 한국닛산㈜에서 수입·판매한 49개 차종 117,925대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (볼보) XC60 등 8개 차종 95,573대는 사고기록장치 소프트웨어 오류로 운행 정보가 정상적으로 기록되지 않을 가능성으로 4월 21일부터, XC60 등 3개 차종 1,560대는 구동축전지 제조 불량에 따른 화재 발생 가능성으로 4월 11일부터 각각 시정조치를 진행한다. ② (벤츠) S 580 4MATIC 등 9개 차종 17,285대는 브레이크 호스 내구성 부족에 따른 브레이크 오일 누출 가능성으로 4월 11일부터 시정조치를 진행한다. ③ (만트럭) TGX트랙터 등 24개 차종 1,515대는 중앙차량제어장치*에서과부하가 발생함에 따라 기어가 D단에서 N단으로 임의 변경될 가능성으로 4월 1일부터 시정조치를 진행하고 있다. * 차량에 장착된 모든 전자제어장치를 모니터링하고 제어하는 장치 ④ (재규어랜드로버) 더 뉴 레인지로버 P530 LWB 등 4개 차종 1,401대는 후방카메라 내부로 수분이 유입됨에 따라 후방영상이 정상적으로 표시되지 않을 가능성으로 4월 14일부터 시정조치를 진행한다. ⑤ (한국닛산) PATHFINDER 591대는 후드걸쇠장치*가 부식으로 고착되어 주행 중 후드가 경고 없이 개방될 가능성으로 4월 1일부터 시정조치를 진행하고 있다. * 자동차 전면부의 후드(보닛) 수동개폐장치□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2025-04-11,561
4,벤츠·폭스바겐 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 메르세데스벤츠코리아㈜, 폭스바겐그룹코리아㈜, 한국토요타자동차㈜, 스텔란티스코리아㈜, 포드세일즈서비스코리아(유)에서 제작 또는 수입·판매한 11개 차종 15,671대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (벤츠) S580 4MATIC 등 2개 차종 4,289대는 엔진 제어장치 소프트웨어 오류로 인한 화재 발생 가능성으로 3월 7일부터 시정조치를 진행하고 있다. ② (폭스바겐) 아우디 Q4 40 e-tron 등 2개 차종 4,226대는 브레이크 제어장치 소프트웨어 오류로 인해 기어 위치가 계기판에 정상적으로 표시되지 않는 안전기준 부적합으로 3월 11일부터 시정조치를 진행하고 있다. ③ (토요타) 시에나 하이브리드 등 2개 차종 2,722대는 3열 좌석 등받이고정볼트 체결 불량에 따른 안전기준 부적합으로 3월 17일부터 시정조치에 들어가고, 캠리 등 3개 차종 1,168대는 연료펌프 부속품 제조 불량으로 인한 시동꺼짐 가능성으로 3월 6일부터 시정조치를 진행하고 있다. ④ (스텔란티스) 크라이슬러 300C 1,731대는 고압 연료펌프 부속품 내구성 부족으로 인한 시동 꺼짐 가능성으로 3월 10일부터 시정조치를 진행하고 있다. ⑤ (포드) 노틸러스 1,535대는 차문 제어장치 소프트웨어 오류로 측면창유리 끼임 방지 기능이 정상 작동하지 않는 안전기준 부적합으로 3월 11일부터 시정조치를 진행하고 있다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2025-03-17,511
5,기아·비엠더블유 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 기아㈜, 비엠더블유코리아㈜, 르노코리아㈜, 테슬라코리아(유), ㈜재규어랜드로버코리아에서 제작 또는 수입·판매한 37개 차종 76,382대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (기아) 니로 등 2개 차종 35,571대는 동승석 하부 전기배선 설계 오류로 동승석 에어백이 미전개되거나 미전개 조건에서 비정상 전개되는 등 탑승자의 상해 발생 가능성으로 2월 26일부터 시정조치에 들어간다. ② (비엠더블유) BMW 528i 등 28개 차종 24,371대는 냉각수 펌프 배선 커넥터 내 수분 유입에 따른 단락으로 인한 화재 발생 가능성으로 2월 20일부터 시정조치에 들어간다. ③ (르노) ARKANA 하이브리드 등 2개 차종 8,056대는 하이브리드 시스템 제어장치* 및 변압기 소프트웨어 오류에 따른 저속 운행 중 차량 동력 상실로 인한 사고 발생 가능성으로 2월 20일부터 시정조치에 들어간다. * 엔진 및 전기 구동모터의 작동을 제어하는 장치 ④ (테슬라) 모델 Y 7,781대는 전자식 파워 어시스트 스티어링(EPAS)* 소프트웨어 오류에 따른 조향 보조 기능 저하 또는 상실로 인한 사고 발생 가능성으로 2월 21일부터 시정조치에 들어간다. * 전자식 모터를 통해 운전자의 핸들 움직임을 적은 힘으로 작동하도록 도와주는 시스템 ⑤ (재규어랜드로버) 디펜더 110 P300 등 4개 차종 603대는 터치스크린 관련 소프트웨어 오류로 후방카메라 화면이 스크린에 표시되지 않아 차량 후진 시 사고 발생 가능성으로 2월 26일부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2025-02-26,718
5,현대·기아 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 현대자동차㈜, 기아㈜, 메르세데스-벤츠코리아(주), 테슬라코리아(유)에서 제작 또는 수입·판매한 11개 차종 343,250대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (현대) 포터Ⅱ EV 등 2개 차종 141,125대는 12V 배터리 센서 설계 오류로 2월 3일부터, 넥쏘 19,830대는 비상점멸표시등 스위치 내구성 부족으로 1월 23일부터 시정조치에 들어간다. ② (기아) 쏘렌토 하이브리드 등 2개 차종 89,598대는 바디도메인 제어장치* 소프트웨어 오류로 1월 24일부터, 봉고Ⅲ EV 등 2개 차종 86,204대는 12V 배터리 센서 설계 오류로 1월 31일부터 시정조치에 들어간다. * 전조등, 타이어 공기압 모니터링 시스템, 스마트키 시스템 등 차량 일부 기능을 관리하는 통합제어장치 ③ (벤츠) S 580 4MATIC 등 2개 차종 4,068대는 엔진 컨트롤 유닛 소프트웨어 오류로 1월 16일부터 시정조치를 진행하고 있다. ④ (테슬라) 모델Y 등 2개 차종 2,425대는 타이어 공기압 모니터링 시스템 소프트웨어 오류로 인해 타이어 공기압 경고 장치가 정상 작동되지 않는 안전기준 부적합으로 1월 14일부터 시정조치를 진행하고 있다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2025-01-24,1182
5,기아·현대 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 기아㈜, 현대자동차(주), 한국지엠(주)·지엠아시아퍼시픽지역본부(주), 혼다코리아(주)에서 제작 또는 수입·판매한 22개 차종 307,517대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (기아) K7 137,553대는 전자제어유압장치(HECU) 내구성 부족에 따른 화재 발생 가능성으로 12월 16일부터 시정조치를 진행하고 있고, 쏘렌토 하이브리드 등 2개 차종 100,023대는 주간주행등이 정상 작동하지 않는 안전기준 부적합으로 12월 18일부터 시정조치에 들어간다. ② (현대) 넥쏘 등 4개 차종 36,122대는 온도 감응식 압력해제 밸브* 제조 불량에 따른 화재 발생 가능성으로 12월 20일부터 시정조치에 들어가고, 아이오닉5 2,517대는 주간주행등이 정상 작동하지 않는 안전기준 부적합으로 12월 24일부터 시정조치에 들어간다. * 온도 감응식 압력해제 밸브 : 차량 화재시 수소탱크 내 수소를 배출하는 부품 ③(한국지엠, 지엠아시아퍼시픽) 트랙스 크로스오버 등 13개 차종 31,057대는 연료펌프 컨트롤 모듈 내구성 부족에 따라 시동이 꺼질 가능성으로 12월 23일부터 시정조치에 들어간다. ④ (혼다) PILOT 245대는 연료탱크 파이프와 연료 주입구의 체결 불량에 따른 연료 누출 가능성으로 12월 20일부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2025-01-24,627
5,현대·비엠더블유 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 현대자동차(주), 비엠더블유코리아㈜, 기아㈜, 혼다코리아(주), 메르세데스벤츠코리아(주)에서 제작 또는 수입·판매한 84개 차종 298,721대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (현대) 아이오닉5 등 5개 차종 119,774대는 통합충전제어장치(ICCU) 소프트웨어 오류로, 포터2 EV 29,115대는 프로펠러 샤프트와 배터리 케이스 간격에 대한 설계 오류로 각각 12월 5일부터 시정조치에 들어간다. ② (비엠더블유) BMW 520i 등 62개 차종 69,614대는 통합제동장치 품질 불량으로 12월 6일부터 시정조치에 들어간다. ③ (기아) EV6 58,608대는 통합충전제어장치(ICCU) 소프트웨어 오류로 12월 9일부터 시정조치에 들어간다. ④ (혼다) ACCORD 등 7개 차종 12,713대는 연료펌프 내 임펠러 불량으로, CR-V 등 2개 차종 1,698대는 스티어링 기어박스 내 부적절한 스프링 사용으로 각각 12월 2일부터 시정조치를 진행하고 있다. ⑤ (벤츠) Mercedes-AMG E53 4MATIC+ 등 4개 차종 4,112대는 변속기 배선 커넥터 수분유입으로, S 580 4MATIC 등 2개 차종 3,087대는 엔진컨트롤 유닛 소프트웨어 오류로 각각 12월 6일부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2025-01-24,441
6,포드·기아 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 포드세일즈서비스코리아(유), 기아㈜, 르노코리아㈜, 스텔란티스코리아㈜에서 제작 또는 수입·판매한 5개 차종 58,180대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (포드) 익스플로러 31,634대는 앞유리 양쪽 외장재가 장착 불량에 따라 주행 중 분리될 가능성으로 11월 18일부터 시정조치를 진행하고 있다. ② (기아) 카렌스 23,090대는 전자제어유압장치(HECU) 내구성 부족에 따라 화재가 발생할 가능성으로 11월 25일부터 시정조치에 들어간다. ③ (르노) SM3 Z.E. 등 2개 차종 3,156대는 고전압배터리의 내부 셀에서 미세한 단락으로 인하여 충전 중 또는 충전 이후 화재가 발생할 가능성으로 11월 25일부터 시정조치에 들어간다. ④ (스텔란티스) 짚그랜드체로키 300대는 크랭크샤프트 톤 휠의 내구성 부족에 따라 엔진 동력 상실로 인한 사고 발생 가능성으로 12월 6일부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-11-22,879
6,현대·벤츠 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 현대자동차㈜, 메르세데스벤츠코리아㈜, 비엠더블유코리아㈜, 포드세일즈서비스코리아(유)에서 제작 또는 수입·판매한 33개 차종 189,797대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (현대) 그랜드스타렉스 등 4개 차종 117,569대는 전자제어유압장치(HECU) 내구성 부족에 따라 화재가 발생할 가능성으로 10월 25일부터, G70 등 4개 차종 58,105대는 고압연료펌프 내 압력 조절 부품의 내구성 부족으로 주행 중 차량이 멈출 가능성으로 10월 31일부터 시정조치에 들어간다. ② (벤츠) Mercedes-AMG GT 43 4MATIC+ 등 5개 차종 5,706대는 변속기 배선 커넥터 설계 오류로 화재가 발생할 가능성으로, GLE 300d 4MATIC 등 5개 차종 4,748대는 제원 통보된 차량 너비가 실제 너비와의 허용차를 초과하는 안전기준 부적합으로 10월 23일부터 각각 시정조치를 진행하고 있다. ③ (비엠더블유) BMW 530i xDrive 등 14개 차종 2,450대는 조향축 내 유니버설 조인트(조향축 간 회전력을 전달하는 부품)의 내구성 부족에 따라 안전에 지장을 줄 가능성으로 10월 22일부터 시정조치를 진행하고 있다. ④ (포드) 노틸러스 1,219대는 차량 도어 제어 소프트웨어 오류로 특정조건*에서 모든 측면 창유리의 끼임 방지 기능이 작동하지 않는 안전기준 부적합으로 10월 18일부터 시정조치를 진행하고 있다. * 창문이 열린 상태에서 주차(시동 OFF 및 키로 문 잠금) 후 12분 초과 시□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-10-25,872
6,현대·기아 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 현대자동차㈜, 기아㈜, 지엠아시아퍼시픽지역본부㈜, 한국지엠㈜에서 제작 또는 수입·판매한 10개 차종 607,502대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (현대) 쏘나타 등 2개 차종 312,744대는 에어백 제어장치 설계오류로 내부 소자가 손상되어 에어백이 전개되지 않을 가능성으로 10월 11일부터 시정조치에 들어간다. ② (기아) 포르테 등 4개 차종 285,327대는 에어백 제어장치 설계오류로 내부 소자가 손상되어 에어백이 전개되지 않을 가능성으로 10월 11일부터 시정조치에 들어가고, EV9 8,592대는 전자식 브레이크 소프트웨어 오류로 원격제어주차기능이 정상 작동되지 않는 안전기준 부적합으로 10월 7일부터 시정조치를 진행하고 있다. ③ (지엠아이아퍼시픽, 한국지엠) 에스컬레이드 등 3개 차종 839대는 전자식 브레이크 소프트웨어 오류로 제동액 부족 시 경고등이 점등되지 않는 안전기준 부적합으로 10월 8일부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-10-25,676
6,현대·기아 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 현대자동차㈜, 기아㈜, 만트럭버스코리아㈜, 스카니아코리아그룹㈜에서 제작 또는 수입·판매한 13개 차종 917,547대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (현대) 그랜저 등 5개 차종 620,349대는 전자제어유압장치(HECU) 내구성 부족에 따라 화재가 발생할 가능성으로 9월 27일부터 시정조치에 들어가고, 그랜드스타렉스 201,393대는 엔진 내 부품 체결부 내구성 부족에 따라 화재가 발생할 가능성으로 9월 26일부터 시정조치에 들어간다. ② (기아) 모하비 89,469대는 전자제어유압장치(HECU) 내구성 부족에 따라 화재가 발생할 가능성으로 9월 30일부터 시정조치에 들어가고, 동일한 결함으로 스포티지 3,233대는 9월 23일부터 시정조치를 진행하고 있다. ③ (만트럭) TGS 덤프트럭 등 4개 차종 1,829대(건설기계 570대, 자동차 1,259대)는 크랭크샤프트* 메인베어링 강성 부족에 따라 화재가 발생할 가능성으로 10월 4일부터 시정조치에 들어간다. * 엔진의 피스톤 왕복운동을 회전운동으로 변환하는 엔진의 주요 구성부품 ④ (스카니아) 스카니아 카고트럭 1,274대는 조향장치 내 연결부품(조향축과 앞바퀴를 연결하는 부품) 제조 불량으로 인한 핸들 떨림으로 안전에 지장을 줄 가능성이 확인되어 9월 27일부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인 할 수 있다. * 단, 건설기계는 제작사(만트럭버스코리아(주)(☎ 080-661-1472))에 직접 문의",강찬우,2024-09-25,1155
7,BMW·포드등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 비엠더블유코리아㈜, 포드세일즈서비스코리아(유)에서 제작 또는 수입·판매한 30개 차종 31,279대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (BMW) MINI Cooper D five-door 등 15개 차종 21,139대는 배기가스재순환장치(EGR) 쿨러 내부 냉각수 누수로 인한 화재 발생 가능성으로, 520i 등 13개 차종 2,787대는 운전자지원첨단조향장치가 정상 작동하지 않는 안전기준 부적합으로, MINI Cooper SE 1,442대는 고전압 배터리 관리 모듈 S/W 오류로 인한 화재 발생 가능성으로 9월 12일부터 각각 시정조치에 들어간다. ② (포드) Aviator 5,911대는 앞좌석에서 핸드폰 통화 시 전자파 간섭으로 360° 카메라 시스템(어라운드 뷰) 화면이 고르지 않게 표출될 가능성이 있어 9월 12일부터 시정조치에 들어간다.□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-09-11,416
7,BMW·볼보트럭 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 비엠더블유코리아㈜, 볼보트럭코리아㈜, 현대자동차㈜에서 제작 또는 수입·판매한 67개 차종 78,218대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (BMW) BMW 520i 등 62개 차종 68,428대는 통합제동장치* 품질 불량으로 인해 제동성능이 저하될 가능성으로, 8월 28일부터 시정조치를 진행하고 있다. * 유압식 및 전자식 브레이크 시스템이 통합된 장치 ② (볼보트럭) FH 트랙터 등 4개 차종 6,998대는 가변축 조종장치의 설계오류로 안전기준*에 부적합하여, 9월 6일부터 시정조치에 들어간다. * 화물에 의한 차량 총중량 증가로, 기존 차축의 하중이 10톤을 초과하는 경우 상하로 작동할 수 있는 차축(가변축)이 자동으로 하강하여야 함 ③ (현대) 제네시스 쿠페 2,792대는 클러치 페달 부품*의 손상으로, 클러치 페달을 밟지 않아도 시동이 걸리고 차량이 움직일 수 있어 안전에 지장을 줄 가능성으로 9월 6일부터 시정조치에 들어간다. * 엔진 시동을 위해 클러치 페달을 밟을 시 작동되는 부품(이그니션 락 스위치)□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-09-11,277
7,테슬라·기아 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 테슬라코리아(유), 기아㈜, 포드세일즈서비스코리아(유), 지엠아시아퍼시픽지역본부㈜에서 제작 또는 수입·판매한 7개 차종 103,543대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (테슬라) 모델Y 등 4개 차종 66,489대는 후드 소프트웨어 오류로 주행 중 운전자가 후드 열림 상태를 감지하지 못하여 안전에 지장을 줄 가능성으로 8월 22일부터 시정조치에 들어간다. ② (기아) 프라이드 36,351대는 전자제어유압장치(HECU)* 내구성 부족에 따라 화재가 발생할 가능성으로 8월 19일부터 시정조치를 진행하고 있다. * 차량 제어 기능이 통합된 제동 전자제어장치 ③ (포드) MKX 402대는 브레이크 부스터*의 부품 내구성 부족에 따라 제동거리가 길어질 가능성으로 8월 22일부터 시정조치에 들어간다. * 브레이크에 부가적으로 압력을 증가시켜 제동력을 증가시키는 장치 ④ (지엠아시아퍼시픽) 캐딜락 리릭 301대는 전자식 브레이크 제어 장치(EBCM) 소프트웨어 오류로 특정 조건*에서 제동거리가 길어질 가능성으로 8월 23일부터 시정조치에 들어간다. * 마른 노면에서 저속(40km/h 이하) 주행□ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-08-21,449
7,비엠더블유·현대 등 자발적 시정조치(리콜),"국토교통부(장관 박상우)는 비엠더블유코리아㈜, 현대자동차㈜, 기아㈜, 케이지모빌리티커머셜㈜에서 제작 또는 수입·판매한 103개 차종 172,976대에서 제작결함이 발견되어 자발적으로 시정조치(리콜)한다고 밝혔다. ① (비엠더블유) BMW 320d 등 98개 차종 113,197대는 교체용 조향핸들이 장착되었을 경우 에어백 모듈의 인플레이터* 내부 압축가스 추진제가 변형되어 에어백 전개 시 과도한 폭발 압력으로 운전자에게 상해를 입힐 가능성으로 8월 8일부터 시정조치에 들어간다. * 내부 추진제를 순간적으로 연소시켜 에어백을 팽창시키는 가스 발생장치 ② (현대) 싼타페 등 2개 차종 43,926대는 2열 시트 좌우측 하단의 배선 설계 오류로 사이드 에어백이 정상 전개되지 않을 가능성으로 8월 16일부터, 엑시언트 FCEV 38대는 조향 피트먼암* 고정너트 제조 불량으로 조향장치가 정상 작동되지 않을 가능성으로 8월 14일부터 시정조치에 들어간다. * 조향핸들의 회전운동을 조향축의 수평운동으로 변환시켜는 부품 ③ (기아) 쏘울 15,763대는 전자제어유압장치(HECU) 내구성 부족에 따라 화재가 발생할 가능성으로 8월 5일부터 시정조치를 진행하고 있다. ④ (케이지) 스마트110E 52대는 조향장치 내 연결부품(조향축과 앞바퀴를 연결하는 부품) 제조 불량으로 조향장치가 정상작동하지 않을 가능성이 확인되어 8월 10일부터 시정조치에 들어간다.? □ 한편, 내 차의 리콜 대상 여부와 구체적인 결함 사항은 자동차리콜센터(PC www.car.go.kr, 모바일 m.car.go.kr / 문의처 080-357-2500)에서 차량번호 및 차대번호를 입력하고 확인할 수 있다.",강찬우,2024-08-08,864
